,time,people_count
0,2023-10-11 00:00:00,5
1,2023-10-11 00:10:00,2
2,2023-10-11 00:20:00,2
3,2023-10-11 00:30:00,3
4,2023-10-11 00:40:00,1
5,2023-10-11 00:50:00,1
6,2023-10-11 01:00:00,9
7,2023-10-11 01:10:00,1
8,2023-10-11 01:20:00,3
9,2023-10-11 01:30:00,3
10,2023-10-11 01:40:00,2
11,2023-10-11 01:50:00,1
12,2023-10-11 02:10:00,4
13,2023-10-11 03:00:00,1
14,2023-10-11 03:10:00,2
15,2023-10-11 03:30:00,1
16,2023-10-11 03:40:00,1
17,2023-10-11 03:50:00,7
18,2023-10-11 04:00:00,5
19,2023-10-11 04:10:00,3
20,2023-10-11 04:20:00,2
21,2023-10-11 04:30:00,2
22,2023-10-11 06:10:00,3
23,2023-10-11 06:20:00,11
24,2023-10-11 06:30:00,3
25,2023-10-11 06:40:00,16
26,2023-10-11 06:50:00,11
27,2023-10-11 07:00:00,15
28,2023-10-11 07:10:00,19
29,2023-10-11 07:20:00,5
30,2023-10-11 07:30:00,3
31,2023-10-11 07:40:00,5
32,2023-10-11 07:50:00,10
33,2023-10-11 08:00:00,22
34,2023-10-11 08:10:00,11
35,2023-10-11 08:20:00,2
36,2023-10-11 08:30:00,14
37,2023-10-11 08:40:00,12
38,2023-10-11 08:50:00,22
39,2023-10-11 09:00:00,16
40,2023-10-11 09:10:00,30
41,2023-10-11 09:20:00,58
42,2023-10-11 09:30:00,44
43,2023-10-11 09:40:00,43
44,2023-10-11 09:50:00,45
45,2023-10-11 10:00:00,40
46,2023-10-11 10:10:00,22
47,2023-10-11 10:20:00,61
48,2023-10-11 10:30:00,93
49,2023-10-11 10:40:00,31
50,2023-10-11 10:50:00,50
51,2023-10-11 11:00:00,71
52,2023-10-11 11:10:00,60
53,2023-10-11 11:20:00,37
54,2023-10-11 11:30:00,36
55,2023-10-11 11:40:00,43
56,2023-10-11 11:50:00,58
57,2023-10-11 12:00:00,26
58,2023-10-11 12:10:00,53
59,2023-10-11 12:20:00,11
60,2023-10-11 12:30:00,9
61,2023-10-11 12:40:00,61
62,2023-10-11 12:50:00,92
63,2023-10-11 13:00:00,96
64,2023-10-11 13:10:00,37
65,2023-10-11 13:20:00,41
66,2023-10-11 13:30:00,39
67,2023-10-11 13:40:00,49
68,2023-10-11 13:50:00,32
69,2023-10-11 14:00:00,68
70,2023-10-11 14:10:00,88
71,2023-10-11 14:20:00,78
72,2023-10-11 14:30:00,61
73,2023-10-11 14:40:00,37
74,2023-10-11 14:50:00,33
75,2023-10-11 15:00:00,28
76,2023-10-11 15:10:00,45
77,2023-10-11 15:20:00,68
78,2023-10-11 15:30:00,31
79,2023-10-11 15:40:00,59
80,2023-10-11 15:50:00,35
81,2023-10-11 16:00:00,46
82,2023-10-11 16:10:00,5
83,2023-10-11 16:20:00,12
84,2023-10-11 16:30:00,2
85,2023-10-11 16:40:00,56
86,2023-10-11 16:50:00,56
87,2023-10-11 17:00:00,69
88,2023-10-11 17:10:00,53
89,2023-10-11 17:20:00,19
90,2023-10-11 17:30:00,27
91,2023-10-11 17:40:00,50
92,2023-10-11 17:50:00,58
93,2023-10-11 18:00:00,89
94,2023-10-11 18:10:00,63
95,2023-10-11 18:20:00,68
96,2023-10-11 18:30:00,46
97,2023-10-11 18:40:00,61
98,2023-10-11 18:50:00,32
99,2023-10-11 19:00:00,15
100,2023-10-11 19:10:00,6
101,2023-10-11 19:20:00,25
102,2023-10-11 19:30:00,78
103,2023-10-11 19:40:00,67
104,2023-10-11 19:50:00,59
105,2023-10-11 20:00:00,65
106,2023-10-11 20:10:00,57
107,2023-10-11 20:20:00,43
108,2023-10-11 20:30:00,35
109,2023-10-11 20:40:00,47
110,2023-10-11 20:50:00,32
111,2023-10-11 21:00:00,50
112,2023-10-11 21:10:00,36
113,2023-10-11 21:20:00,41
114,2023-10-11 21:30:00,16
115,2023-10-11 21:40:00,26
116,2023-10-11 21:50:00,28
117,2023-10-11 22:00:00,17
118,2023-10-11 22:10:00,15
119,2023-10-11 22:20:00,6
120,2023-10-11 22:30:00,7
121,2023-10-11 22:40:00,10
122,2023-10-11 22:50:00,9
123,2023-10-11 23:00:00,18
124,2023-10-11 23:10:00,12
125,2023-10-11 23:20:00,11
126,2023-10-11 23:30:00,9
127,2023-10-11 23:40:00,8
128,2023-10-11 23:50:00,8
129,2023-10-12 00:00:00,11
130,2023-10-12 00:10:00,13
131,2023-10-12 00:20:00,8
132,2023-10-12 00:30:00,7
133,2023-10-12 00:40:00,7
134,2023-10-12 00:50:00,3
135,2023-10-12 01:00:00,10
136,2023-10-12 01:10:00,5
137,2023-10-12 01:20:00,5
138,2023-10-12 01:30:00,1
139,2023-10-12 01:40:00,3
140,2023-10-12 02:00:00,4
141,2023-10-12 02:10:00,2
142,2023-10-12 02:20:00,3
143,2023-10-12 02:30:00,6
144,2023-10-12 02:40:00,4
145,2023-10-12 02:50:00,2
146,2023-10-12 03:00:00,3
147,2023-10-12 03:10:00,6
148,2023-10-12 03:20:00,5
149,2023-10-12 03:30:00,5
150,2023-10-12 03:40:00,4
151,2023-10-12 03:50:00,4
152,2023-10-12 04:00:00,5
153,2023-10-12 04:10:00,11
154,2023-10-12 04:20:00,11
155,2023-10-12 04:30:00,6
156,2023-10-12 04:40:00,10
157,2023-10-12 04:50:00,13
158,2023-10-12 06:00:00,2
159,2023-10-12 06:10:00,13
160,2023-10-12 06:20:00,14
161,2023-10-12 06:30:00,18
162,2023-10-12 06:40:00,6
163,2023-10-12 06:50:00,8
