,time,people_count
0,2023-11-01 00:00:00,54
1,2023-11-01 00:10:00,64
2,2023-11-01 00:20:00,65
3,2023-11-01 00:30:00,75
4,2023-11-01 00:40:00,161
5,2023-11-01 00:50:00,202
6,2023-11-01 01:00:00,66
7,2023-11-01 01:10:00,8
8,2023-11-01 01:20:00,58
9,2023-11-01 01:30:00,14
10,2023-11-01 01:40:00,16
11,2023-11-01 01:50:00,22
12,2023-11-01 02:10:00,4
13,2023-11-01 02:20:00,5
14,2023-11-01 02:30:00,9
15,2023-11-01 02:40:00,9
16,2023-11-01 02:50:00,21
17,2023-11-01 03:00:00,14
18,2023-11-01 03:10:00,12
19,2023-11-01 03:20:00,22
20,2023-11-01 03:30:00,25
21,2023-11-01 03:40:00,31
22,2023-11-01 03:50:00,12
23,2023-11-01 04:00:00,13
24,2023-11-01 04:10:00,4
25,2023-11-01 04:20:00,10
26,2023-11-01 04:30:00,18
27,2023-11-01 04:50:00,5
28,2023-11-01 06:00:00,1
29,2023-11-01 06:10:00,10
30,2023-11-01 06:20:00,5
31,2023-11-01 06:30:00,1
32,2023-11-01 06:40:00,3
33,2023-11-01 06:50:00,1
34,2023-11-01 07:30:00,1
35,2023-11-01 07:40:00,2
36,2023-11-01 07:50:00,1
37,2023-11-01 08:00:00,2
38,2023-11-01 08:10:00,6
39,2023-11-01 08:30:00,1
40,2023-11-01 08:40:00,1
41,2023-11-01 08:50:00,28
42,2023-11-01 09:00:00,20
43,2023-11-01 09:10:00,16
44,2023-11-01 09:20:00,8
45,2023-11-01 09:30:00,9
46,2023-11-01 09:40:00,19
47,2023-11-01 09:50:00,8
48,2023-11-01 10:00:00,7
49,2023-11-01 10:10:00,13
50,2023-11-01 10:20:00,14
51,2023-11-01 10:30:00,1
52,2023-11-01 10:40:00,26
53,2023-11-01 10:50:00,17
54,2023-11-01 11:00:00,21
55,2023-11-01 11:10:00,6
56,2023-11-01 11:20:00,12
57,2023-11-01 11:30:00,21
58,2023-11-01 11:40:00,8
59,2023-11-01 12:00:00,31
60,2023-11-01 12:10:00,17
61,2023-11-01 12:20:00,78
62,2023-11-01 12:30:00,79
63,2023-11-01 12:40:00,67
64,2023-11-01 12:50:00,23
65,2023-11-01 13:00:00,63
66,2023-11-01 13:10:00,52
67,2023-11-01 13:20:00,22
68,2023-11-01 13:30:00,49
69,2023-11-01 13:40:00,87
70,2023-11-01 13:50:00,81
71,2023-11-01 14:00:00,73
72,2023-11-01 14:10:00,8
73,2023-11-01 14:30:00,67
74,2023-11-01 14:40:00,103
75,2023-11-01 14:50:00,61
76,2023-11-01 15:00:00,85
77,2023-11-01 15:10:00,92
78,2023-11-01 15:20:00,21
79,2023-11-01 15:30:00,45
80,2023-11-01 15:50:00,38
81,2023-11-01 16:00:00,23
82,2023-11-01 16:10:00,36
83,2023-11-01 16:30:00,3
84,2023-11-01 16:40:00,20
85,2023-11-01 16:50:00,19
86,2023-11-01 17:00:00,49
87,2023-11-01 17:10:00,26
88,2023-11-01 17:30:00,7
89,2023-11-01 17:40:00,9
90,2023-11-01 17:50:00,18
91,2023-11-01 18:00:00,18
92,2023-11-01 18:10:00,31
93,2023-11-01 18:20:00,35
94,2023-11-01 18:30:00,60
95,2023-11-01 18:40:00,41
96,2023-11-01 18:50:00,32
97,2023-11-01 19:00:00,10
98,2023-11-01 19:10:00,57
99,2023-11-01 19:20:00,59
100,2023-11-01 19:30:00,67
101,2023-11-01 19:40:00,54
102,2023-11-01 19:50:00,37
103,2023-11-01 20:00:00,52
104,2023-11-01 20:10:00,13
105,2023-11-01 20:20:00,22
106,2023-11-01 20:30:00,15
107,2023-11-01 20:40:00,22
108,2023-11-01 20:50:00,27
109,2023-11-01 21:00:00,17
110,2023-11-01 21:10:00,7
111,2023-11-01 21:20:00,9
112,2023-11-01 21:30:00,7
113,2023-11-01 21:40:00,9
114,2023-11-01 21:50:00,21
115,2023-11-01 22:00:00,17
116,2023-11-01 22:20:00,17
117,2023-11-01 22:30:00,52
118,2023-11-01 22:40:00,71
119,2023-11-01 22:50:00,41
120,2023-11-01 23:00:00,48
121,2023-11-01 23:10:00,12
122,2023-11-01 23:20:00,14
123,2023-11-01 23:30:00,4
124,2023-11-01 23:40:00,8
125,2023-11-01 23:50:00,3
126,2023-11-02 00:00:00,8
127,2023-11-02 00:10:00,2
128,2023-11-02 00:20:00,1
129,2023-11-02 00:30:00,3
130,2023-11-02 00:40:00,7
131,2023-11-02 01:00:00,2
132,2023-11-02 01:10:00,3
133,2023-11-02 01:30:00,3
134,2023-11-02 01:40:00,1
135,2023-11-02 01:50:00,3
136,2023-11-02 02:00:00,5
137,2023-11-02 02:10:00,4
138,2023-11-02 02:20:00,4
139,2023-11-02 02:30:00,5
140,2023-11-02 02:40:00,1
141,2023-11-02 02:50:00,5
142,2023-11-02 03:00:00,3
143,2023-11-02 03:10:00,1
144,2023-11-02 03:20:00,2
145,2023-11-02 03:30:00,2
146,2023-11-02 03:40:00,1
147,2023-11-02 03:50:00,2
148,2023-11-02 04:00:00,3
149,2023-11-02 04:10:00,2
150,2023-11-02 04:20:00,5
151,2023-11-02 04:30:00,3
152,2023-11-02 04:40:00,8
153,2023-11-02 04:50:00,3
154,2023-11-02 05:00:00,5
155,2023-11-02 06:00:00,1
156,2023-11-02 06:10:00,10
157,2023-11-02 06:20:00,10
158,2023-11-02 06:30:00,16
159,2023-11-02 06:40:00,18
160,2023-11-02 06:50:00,15
161,2023-11-02 07:00:00,7
162,2023-11-02 07:10:00,11
163,2023-11-02 07:20:00,10
164,2023-11-02 07:30:00,14
165,2023-11-02 07:40:00,43
166,2023-11-02 07:50:00,27
167,2023-11-02 08:00:00,16
168,2023-11-02 08:10:00,36
169,2023-11-02 08:20:00,16
170,2023-11-02 08:30:00,15
171,2023-11-02 08:40:00,31
172,2023-11-02 08:50:00,30
173,2023-11-02 09:00:00,39
174,2023-11-02 09:10:00,15
175,2023-11-02 09:20:00,28
176,2023-11-02 09:30:00,22
177,2023-11-02 09:40:00,15
178,2023-11-02 09:50:00,9
179,2023-11-02 10:00:00,19
180,2023-11-02 10:10:00,27
181,2023-11-02 10:20:00,2
182,2023-11-02 10:30:00,24
183,2023-11-02 10:40:00,29
184,2023-11-02 10:50:00,41
185,2023-11-02 11:00:00,29
186,2023-11-02 11:10:00,34
187,2023-11-02 11:20:00,35
188,2023-11-02 11:30:00,39
189,2023-11-02 11:40:00,24
190,2023-11-02 11:50:00,41
191,2023-11-02 12:00:00,33
192,2023-11-02 12:10:00,44
193,2023-11-02 12:20:00,21
194,2023-11-02 12:30:00,23
195,2023-11-02 12:40:00,47
196,2023-11-02 12:50:00,35
197,2023-11-02 13:00:00,50
198,2023-11-02 13:10:00,37
199,2023-11-02 13:20:00,45
200,2023-11-02 13:30:00,48
201,2023-11-02 13:40:00,48
202,2023-11-02 13:50:00,34
