,time,people_count
0,2023-10-10 16:40:00,36
1,2023-10-10 16:50:00,49
2,2023-10-10 17:00:00,37
3,2023-10-10 17:10:00,54
4,2023-10-10 17:20:00,11
5,2023-10-10 17:30:00,57
6,2023-10-10 17:40:00,51
7,2023-10-10 17:50:00,26
8,2023-10-10 18:00:00,78
9,2023-10-10 18:10:00,50
10,2023-10-10 18:20:00,62
11,2023-10-10 18:30:00,19
12,2023-10-10 18:40:00,52
13,2023-10-10 18:50:00,69
14,2023-10-10 19:00:00,35
15,2023-10-10 19:10:00,41
16,2023-10-10 19:20:00,115
17,2023-10-10 19:30:00,83
18,2023-10-10 19:40:00,60
19,2023-10-10 19:50:00,52
20,2023-10-10 20:00:00,12
21,2023-10-10 20:10:00,62
22,2023-10-10 20:20:00,58
23,2023-10-10 20:30:00,43
24,2023-10-10 20:40:00,47
25,2023-10-10 20:50:00,46
26,2023-10-10 21:00:00,24
27,2023-10-10 21:10:00,22
28,2023-10-10 21:20:00,17
29,2023-10-10 21:30:00,20
30,2023-10-10 21:40:00,10
31,2023-10-10 21:50:00,7
32,2023-10-10 22:00:00,13
33,2023-10-10 22:10:00,11
34,2023-10-10 22:20:00,5
35,2023-10-10 22:30:00,6
36,2023-10-10 22:40:00,8
37,2023-10-10 22:50:00,12
38,2023-10-10 23:00:00,2
39,2023-10-10 23:10:00,3
40,2023-10-10 23:20:00,3
41,2023-10-10 23:30:00,5
42,2023-10-10 23:40:00,3
43,2023-10-10 23:50:00,5
44,2023-10-11 00:00:00,5
45,2023-10-11 00:10:00,2
46,2023-10-11 00:20:00,2
47,2023-10-11 00:30:00,3
48,2023-10-11 00:40:00,1
49,2023-10-11 00:50:00,1
50,2023-10-11 01:00:00,9
51,2023-10-11 01:10:00,1
52,2023-10-11 01:20:00,3
53,2023-10-11 01:30:00,3
54,2023-10-11 01:40:00,2
55,2023-10-11 01:50:00,1
56,2023-10-11 02:10:00,4
57,2023-10-11 03:00:00,1
58,2023-10-11 03:10:00,2
59,2023-10-11 03:30:00,1
60,2023-10-11 03:40:00,1
61,2023-10-11 03:50:00,7
62,2023-10-11 04:00:00,5
63,2023-10-11 04:10:00,3
64,2023-10-11 04:20:00,2
65,2023-10-11 04:30:00,2
66,2023-10-11 06:10:00,3
67,2023-10-11 06:20:00,11
68,2023-10-11 06:30:00,3
69,2023-10-11 06:40:00,16
70,2023-10-11 06:50:00,11
71,2023-10-11 07:00:00,15
72,2023-10-11 07:10:00,19
73,2023-10-11 07:20:00,5
74,2023-10-11 07:30:00,3
75,2023-10-11 07:40:00,5
76,2023-10-11 07:50:00,10
77,2023-10-11 08:00:00,22
78,2023-10-11 08:10:00,11
79,2023-10-11 08:20:00,2
80,2023-10-11 08:30:00,14
81,2023-10-11 08:40:00,12
82,2023-10-11 08:50:00,22
83,2023-10-11 09:00:00,16
84,2023-10-11 09:10:00,30
85,2023-10-11 09:20:00,58
86,2023-10-11 09:30:00,44
87,2023-10-11 09:40:00,43
88,2023-10-11 09:50:00,45
89,2023-10-11 10:00:00,40
90,2023-10-11 10:10:00,22
91,2023-10-11 10:20:00,61
92,2023-10-11 10:30:00,93
93,2023-10-11 10:40:00,31
94,2023-10-11 10:50:00,50
95,2023-10-11 11:00:00,71
96,2023-10-11 11:10:00,60
97,2023-10-11 11:20:00,37
98,2023-10-11 11:30:00,36
99,2023-10-11 11:40:00,43
100,2023-10-11 11:50:00,58
101,2023-10-11 12:00:00,26
102,2023-10-11 12:10:00,53
103,2023-10-11 12:20:00,11
104,2023-10-11 12:30:00,9
