,time,people_count
0,2023-08-01 00:10:00,46
1,2023-08-01 00:40:00,6
2,2023-08-01 01:00:00,10
3,2023-08-01 01:10:00,6
4,2023-08-01 01:20:00,8
5,2023-08-01 01:30:00,5
6,2023-08-01 01:50:00,3
7,2023-08-01 02:00:00,1
8,2023-08-01 02:50:00,1
9,2023-08-01 03:20:00,4
10,2023-08-01 03:30:00,1
11,2023-08-01 03:40:00,3
12,2023-08-01 03:50:00,1
13,2023-08-01 04:10:00,1
14,2023-08-01 04:20:00,3
15,2023-08-01 04:30:00,3
16,2023-08-01 06:10:00,5
17,2023-08-01 06:20:00,3
18,2023-08-01 06:30:00,6
19,2023-08-01 06:40:00,8
20,2023-08-01 06:50:00,6
21,2023-08-01 07:00:00,4
22,2023-08-01 07:10:00,1
23,2023-08-01 07:30:00,10
24,2023-08-01 07:40:00,1
25,2023-08-01 07:50:00,8
26,2023-08-01 08:00:00,1
27,2023-08-01 08:10:00,4
28,2023-08-01 08:20:00,3
29,2023-08-01 08:40:00,1
30,2023-08-01 08:50:00,2
31,2023-08-01 09:00:00,2
32,2023-08-01 09:10:00,8
33,2023-08-01 09:20:00,5
34,2023-08-01 09:40:00,10
35,2023-08-01 09:50:00,17
36,2023-08-01 10:00:00,48
37,2023-08-01 10:10:00,1
38,2023-08-01 10:20:00,35
39,2023-08-01 10:30:00,10
40,2023-08-01 10:40:00,7
41,2023-08-01 10:50:00,22
42,2023-08-01 11:00:00,27
43,2023-08-01 11:10:00,32
44,2023-08-01 11:20:00,39
45,2023-08-01 11:30:00,35
46,2023-08-01 11:40:00,30
47,2023-08-01 11:50:00,70
48,2023-08-01 12:00:00,53
49,2023-08-01 12:10:00,56
50,2023-08-01 12:20:00,29
51,2023-08-01 12:30:00,33
52,2023-08-01 12:40:00,50
53,2023-08-01 12:50:00,57
54,2023-08-01 13:00:00,68
55,2023-08-01 13:10:00,55
56,2023-08-01 13:20:00,31
57,2023-08-01 13:30:00,111
58,2023-08-01 13:40:00,83
59,2023-08-01 13:50:00,75
60,2023-08-01 14:00:00,75
61,2023-08-01 14:10:00,34
62,2023-08-01 14:30:00,44
63,2023-08-01 14:40:00,7
64,2023-08-01 14:50:00,20
65,2023-08-01 15:10:00,9
66,2023-08-01 15:20:00,16
67,2023-08-01 15:40:00,4
68,2023-08-01 16:10:00,5
69,2023-08-01 16:20:00,11
70,2023-08-01 16:30:00,9
71,2023-08-01 16:40:00,2
72,2023-08-01 16:50:00,20
73,2023-08-01 17:10:00,5
74,2023-08-01 17:20:00,17
75,2023-08-01 17:30:00,10
76,2023-08-01 17:50:00,25
77,2023-08-01 18:00:00,11
78,2023-08-01 18:10:00,4
79,2023-08-01 18:20:00,15
80,2023-08-01 18:30:00,17
81,2023-08-01 18:50:00,30
82,2023-08-01 19:00:00,32
83,2023-08-01 19:10:00,21
84,2023-08-01 19:20:00,32
85,2023-08-01 19:30:00,112
86,2023-08-01 19:40:00,113
87,2023-08-01 19:50:00,27
88,2023-08-01 20:00:00,21
