,time,people_count
0,2023-07-01 00:10:00,12
1,2023-07-01 00:20:00,10
2,2023-07-01 00:40:00,17
3,2023-07-01 00:50:00,5
4,2023-07-01 01:00:00,19
5,2023-07-01 01:10:00,13
6,2023-07-01 01:30:00,3
7,2023-07-01 01:50:00,4
8,2023-07-01 02:00:00,1
9,2023-07-01 02:20:00,1
10,2023-07-01 02:40:00,1
11,2023-07-01 03:00:00,1
12,2023-07-01 03:10:00,1
13,2023-07-01 03:30:00,3
14,2023-07-01 03:50:00,2
15,2023-07-01 04:10:00,1
16,2023-07-01 04:40:00,1
17,2023-07-01 06:00:00,1
18,2023-07-01 06:30:00,3
19,2023-07-01 06:40:00,8
20,2023-07-01 06:50:00,12
21,2023-07-01 07:00:00,8
22,2023-07-01 07:10:00,6
23,2023-07-01 07:20:00,3
24,2023-07-01 07:30:00,12
25,2023-07-01 07:40:00,9
26,2023-07-01 07:50:00,26
27,2023-07-01 08:00:00,2
28,2023-07-01 08:10:00,5
29,2023-07-01 08:20:00,20
30,2023-07-01 08:30:00,34
31,2023-07-01 08:40:00,21
32,2023-07-01 08:50:00,55
33,2023-07-01 09:00:00,24
34,2023-07-01 09:10:00,11
35,2023-07-01 09:20:00,51
36,2023-07-01 09:30:00,34
37,2023-07-01 09:40:00,40
38,2023-07-01 09:50:00,45
39,2023-07-01 10:00:00,87
40,2023-07-01 10:10:00,29
41,2023-07-01 10:20:00,28
42,2023-07-01 10:30:00,49
43,2023-07-01 10:40:00,43
44,2023-07-01 10:50:00,64
45,2023-07-01 11:00:00,59
46,2023-07-01 11:10:00,26
47,2023-07-01 11:30:00,40
48,2023-07-01 11:40:00,280
49,2023-07-01 11:50:00,106
50,2023-07-01 12:00:00,11
51,2023-07-01 12:10:00,41
52,2023-07-01 12:20:00,30
53,2023-07-01 12:30:00,56
54,2023-07-01 12:40:00,95
55,2023-07-01 12:50:00,27
56,2023-07-01 13:00:00,21
57,2023-07-01 13:10:00,16
58,2023-07-01 13:30:00,35
59,2023-07-01 13:40:00,18
60,2023-07-01 13:50:00,23
61,2023-07-01 14:00:00,23
62,2023-07-01 14:10:00,85
63,2023-07-01 14:20:00,9
64,2023-07-01 14:30:00,53
65,2023-07-01 14:40:00,1
66,2023-07-01 14:50:00,60
67,2023-07-01 15:00:00,3
68,2023-07-01 15:10:00,9
69,2023-07-01 15:20:00,14
70,2023-07-01 15:30:00,38
71,2023-07-01 15:40:00,21
72,2023-07-01 16:00:00,19
73,2023-07-01 16:10:00,26
74,2023-07-01 16:20:00,59
75,2023-07-01 16:30:00,14
76,2023-07-01 16:40:00,38
77,2023-07-01 16:50:00,50
78,2023-07-01 17:00:00,60
79,2023-07-01 17:10:00,48
80,2023-07-01 17:20:00,95
81,2023-07-01 17:30:00,154
82,2023-07-01 17:40:00,96
83,2023-07-01 17:50:00,93
84,2023-07-01 18:00:00,63
85,2023-07-01 18:10:00,41
86,2023-07-01 18:20:00,80
87,2023-07-01 18:30:00,68
88,2023-07-01 18:40:00,60
89,2023-07-01 18:50:00,139
90,2023-07-01 19:00:00,69
91,2023-07-01 19:10:00,106
92,2023-07-01 19:20:00,3
93,2023-07-01 19:30:00,51
94,2023-07-01 19:50:00,65
95,2023-07-01 20:00:00,5
96,2023-07-01 20:20:00,181
97,2023-07-01 20:30:00,136
98,2023-07-01 20:40:00,55
99,2023-07-01 21:00:00,159
100,2023-07-01 21:10:00,2
101,2023-07-01 21:30:00,47
102,2023-07-01 21:50:00,153
103,2023-07-01 22:00:00,189
104,2023-07-01 22:10:00,5
105,2023-07-01 22:20:00,107
106,2023-07-01 22:30:00,107
107,2023-07-01 22:40:00,48
108,2023-07-01 23:00:00,50
109,2023-07-01 23:10:00,62
110,2023-07-01 23:40:00,126
111,2023-07-02 00:00:00,60
112,2023-07-02 00:20:00,14
113,2023-07-02 00:30:00,144
114,2023-07-02 00:40:00,51
115,2023-07-02 00:50:00,90
116,2023-07-02 01:00:00,92
117,2023-07-02 01:10:00,71
118,2023-07-02 01:20:00,42
119,2023-07-02 01:30:00,7
120,2023-07-02 01:50:00,16
121,2023-07-02 02:20:00,1
122,2023-07-02 02:40:00,1
123,2023-07-02 02:50:00,2
124,2023-07-02 03:00:00,4
125,2023-07-02 03:10:00,2
126,2023-07-02 03:20:00,1
127,2023-07-02 03:30:00,1
128,2023-07-02 03:40:00,1
129,2023-07-02 04:00:00,3
130,2023-07-02 06:30:00,1
131,2023-07-02 07:00:00,1
132,2023-07-02 07:10:00,2
133,2023-07-02 07:30:00,8
134,2023-07-02 07:50:00,4
135,2023-07-02 08:00:00,5
136,2023-07-02 08:30:00,5
137,2023-07-02 08:40:00,4
138,2023-07-02 08:50:00,3
139,2023-07-02 09:10:00,3
140,2023-07-02 09:30:00,37
141,2023-07-02 09:50:00,31
142,2023-07-02 10:00:00,45
143,2023-07-02 10:10:00,13
144,2023-07-02 10:20:00,16
145,2023-07-02 10:30:00,15
146,2023-07-02 10:40:00,14
147,2023-07-02 10:50:00,35
148,2023-07-02 11:00:00,37
149,2023-07-02 11:10:00,4
150,2023-07-02 11:20:00,19
151,2023-07-02 11:40:00,14
152,2023-07-02 11:50:00,10
153,2023-07-02 12:00:00,43
154,2023-07-02 12:10:00,42
155,2023-07-02 12:20:00,57
156,2023-07-02 12:30:00,42
157,2023-07-02 12:40:00,9
158,2023-07-02 12:50:00,12
159,2023-07-02 13:00:00,24
160,2023-07-02 13:10:00,57
161,2023-07-02 13:20:00,41
162,2023-07-02 13:30:00,43
163,2023-07-02 13:40:00,85
164,2023-07-02 13:50:00,9
165,2023-07-02 14:00:00,26
166,2023-07-02 14:10:00,43
167,2023-07-02 14:20:00,64
168,2023-07-02 14:40:00,21
169,2023-07-02 14:50:00,8
170,2023-07-02 15:00:00,12
171,2023-07-02 15:10:00,22
172,2023-07-02 15:20:00,41
173,2023-07-02 15:30:00,36
174,2023-07-02 15:40:00,13
175,2023-07-02 15:50:00,30
176,2023-07-02 16:00:00,50
177,2023-07-02 16:10:00,33
178,2023-07-02 16:20:00,21
179,2023-07-02 16:30:00,8
180,2023-07-02 16:40:00,13
181,2023-07-02 16:50:00,27
182,2023-07-02 17:00:00,8
183,2023-07-02 17:10:00,31
184,2023-07-02 17:20:00,5
185,2023-07-02 17:30:00,41
186,2023-07-02 17:40:00,30
187,2023-07-02 17:50:00,21
188,2023-07-02 18:00:00,72
189,2023-07-02 18:10:00,55
190,2023-07-02 18:20:00,20
191,2023-07-02 18:30:00,16
192,2023-07-02 18:50:00,5
193,2023-07-02 19:00:00,11
194,2023-07-02 19:20:00,17
195,2023-07-02 19:30:00,3
196,2023-07-02 19:40:00,18
197,2023-07-02 19:50:00,18
198,2023-07-02 20:00:00,16
199,2023-07-02 20:10:00,33
200,2023-07-02 20:20:00,60
201,2023-07-02 20:30:00,36
202,2023-07-02 20:40:00,34
203,2023-07-02 20:50:00,9
204,2023-07-02 21:00:00,42
205,2023-07-02 21:10:00,58
206,2023-07-02 21:20:00,48
207,2023-07-02 21:30:00,3
208,2023-07-02 21:50:00,4
209,2023-07-02 22:00:00,6
210,2023-07-02 22:10:00,3
211,2023-07-02 22:20:00,5
212,2023-07-02 22:40:00,1
213,2023-07-02 22:50:00,2
214,2023-07-02 23:00:00,3
215,2023-07-02 23:20:00,1
216,2023-07-02 23:50:00,1
217,2023-07-03 00:20:00,1
